date,day,video_no,daily_theme,title,opening_hook,demo_feature,primary_audience,cta,platforms,target_length_seconds,owner,status
2026-08-03,Monday,1,School setup in one morning,A Kenyan school can start here—not in a spreadsheet,Watch NEYO create the school structure before the first bell,"School profile, levels and modules",School Owner,Join the Term 3 pilot waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-03,Monday,2,School setup in one morning,Stop typing the same class name in five systems,"Create a class once and reuse it across attendance, fees and academics",Classes and streams,Administrator,Book a pilot-school walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-03,Monday,3,School setup in one morning,40 classes. 70 teachers. One timetable test,Show the dedicated 40-stream stress-test tenant and generator evidence,Large-school readiness,Principal,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-03,Monday,4,School setup in one morning,What NEYO looks like on a KES-zero marketing budget,Tour the real app without cinematic claims or mock dashboards,Product overview,School Owner,Follow the August build-and-demo series,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-03,Monday,5,School setup in one morning,The two-ID system every Kenyan school should understand,Contrast admission number with a secure NEYO login identity,Identity and admissions,Registrar,Request the pilot brief,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-03,Monday,6,School setup in one morning,A school system should know who is allowed to click what,Switch roles and show permission-scoped navigation,Roles and permissions,Principal,Join the pilot waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-03,Monday,7,School setup in one morning,What happens when a school offers CBC and 8-4-4 together?,Show level-aware configuration without duplicating the school,Curriculum and levels,Director of Studies,Save this for your school team,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-03,Monday,8,School setup in one morning,"Before you buy school software, ask this one question",Demonstrate tenant isolation and explain why one school cannot see another,Tenant isolation,School Owner,Request a governed demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-04,Tuesday,1,Admissions and learner records,From enquiry to admitted learner without losing the paper trail,Walk through an admissions workflow and review state,Admissions,Registrar,Join the Term 3 pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-04,Tuesday,2,Admissions and learner records,Importing learners should never mean trusting a blind spreadsheet,"Show preview, validation and correction before commit",Student import,Administrator,Bring a sample template to a pilot demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-04,Tuesday,3,Admissions and learner records,"One learner, the right guardian, no accidental family mix-up",Demonstrate guardian linking and row-scoped family access,Guardians,Registrar,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-04,Tuesday,4,Admissions and learner records,"When a guardian changes their phone number, what breaks?",Show the governed guardian update path and downstream login effect,Guardian updates,Reception,Request the workflow guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-04,Tuesday,5,Admissions and learner records,A transfer should not erase a learner's history,Show transfer records and controlled document handling,Transfers,Registrar,Save and share with a school administrator,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-04,Tuesday,6,Admissions and learner records,"Promotion, repeat or transfer: three different decisions",Demonstrate explicit year-end learner outcomes,Promotion,Principal,Join the pilot cohort,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-04,Tuesday,7,Admissions and learner records,Student documents should not live in a teacher's WhatsApp,Show encrypted document upload and scoped access,Student documents,Administrator,Request a privacy-first demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-04,Tuesday,8,Admissions and learner records,Can a teacher search every learner in the school? They should not,Demonstrate class-teacher and role-based learner scope,Student privacy,Teacher,Join the pilot waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-05,Wednesday,1,"Attendance, gate and safety",Attendance on a weak connection—then reconnect once,Record offline attendance and show queued sync,Offline attendance,Class Teacher,Join the Term 3 pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-05,Wednesday,2,"Attendance, gate and safety",The QR is reusable; the attendance session is not,Explain expiring session codes and one response per learner,QR attendance,Deputy Principal,Request a live demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-05,Wednesday,3,"Attendance, gate and safety",A printed student ID can work again tomorrow safely,Show session-bound scanning rather than permanent attendance links,Student ID attendance,Reception,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
